"","studyId","trait_reported"
"903","GCST000533_7","Lipid metabolism phenotypes [HDL-C.by.NMR, fasting]"
"904","GCST001326","Type 2 diabetes"
"905","GCST001397","Type 2 diabetes"
"906","GCST001953_5","Obesity [Overweight]"
"907","GCST003400_2","Type 2 diabetes [Japanese]"
"908","GCST005463","Phospholipid levels in medium VLDL"
"909","GCST009391_99","Metabolite levels [TAG 56:3]"
"910","GCST009616","HDL cholesterol levels x thiazide or thiazide-like diuretics use interaction"
"911","GCST90013534_5","Rheumatoid arthritis [conditional on rs71508903]"
"912","GCST90013729","Coronary artery disease"
"913","GCST003467","Glaucoma (primary angle closure)"
"914","GCST003662","LDL cholesterol"
"915","GCST009325","Parkinson's disease or first degree relation to individual with Parkinson's disease"
"916","GCST009366_4","LDL cholesterol levels x long total sleep time interaction (2df test) [EA]"
"917","GCST90013534_7","Rheumatoid arthritis [conditional on rs7749323 and rs17264332]"
"918","FINNGEN_R5_H7_GLAUCPRIMOPEN","Primary open-angle glaucoma"
"919","GCST000139","Triglycerides"
"920","GCST000533_27","Lipid metabolism phenotypes [VLDL.large, fasting]"
"921","GCST001475","Obesity"
"922","GCST002814","Alzheimer's disease (APOE e4 interaction)"
"923","GCST007825","Alzheimer's disease or fasting glucose levels (pleiotropy)"
"924","GCST010165","Cardioembolic stroke (TOAST classification)"
"925","GCST002446_3","Plasma omega-6 polyunsaturated fatty acid levels (linoleic acid) [Conditioned on rs174547]"
"926","GCST006065","Glaucoma (primary open-angle)"
"927","GCST007281","HDL cholesterol x physical activity interaction (1df test)"
"928","GCST008486","Atrial fibrillation"
"929","GCST009890","Parental lifespan"
"930","GCST000331","HDL cholesterol"
"931","GCST003116","Coronary artery disease"
"932","GCST004537","High density lipoprotein cholesterol levels"
"933","GCST005569","Rheumatoid arthritis"
"934","GCST007140_2","High density lipoprotein cholesterol levels [AA]"
"935","GCST007849","Triglycerides [AA]"
"936","GCST008085","HDL cholesterol levels in current drinkers"
"937","GCST008691","LDL cholesterol levels x smoking (ever vs never smokers) interaction (2df test) [African, trans-ethnic]"
"938","GCST010556","Type 2 diabetes"
"939","FINNGEN_R5_E4_OBESITY","Obesity"
"940","FINNGEN_R5_I9_NONRHEVALV_EXNONE","Non-rheumatic valve diseases (no controls excluded)"
"941","GCST002965_18","Glycerophospholipid levels [Phosphatidylcholine diacyl C34:3]"
"942","GCST008074_2","Triglyceride levels x alcohol consumption (regular vs non-regular drinkers) interaction (2df) [AA]"
"943","GCST009019","Alzheimer's disease"
"944","NEALE2_20002_1065","Hypertension | non-cancer illness code, self-reported"
"945","FINNGEN_R5_FG_OTHHEART","Other heart diseases"
"946","GCST000138","Triglycerides"
"947","GCST001865","Aortic-valve calcification [EA]"
"948","GCST006698","Parental longevity (both parents in top 10%)"
"949","GCST007438","High density lipoprotein cholesterol levels"
"950","NEALE2_6152_6","Emphysema/chronic bronchitis | blood clot, dvt, bronchitis, emphysema, asthma, rhinitis, eczema, allergy diagnosed by doctor"
"951","GCST000480","Alzheimer's disease"
"952","GCST002321_2","Lipid traits [HDL]"
"953","GCST003390","Thrombosis"
"954","GCST006229","Hypertension"
"955","GCST008077_2","LDL cholesterol levels [AA]"
"956","GCST008085_4","HDL cholesterol levels in current drinkers [EA]"
"957","GCST009685","Hypertension"
"958","GCST010766","Type 2 diabetes (time to event)"
"959","GCST011439","Glaucoma (primary open-angle)"
"960","FINNGEN_R5_CARDIAC_ARRHYTM","Cardiac arrhytmias"
"961","GCST001706_4","Stroke (ischemic) [LVD]"
"962","GCST005922","Alzheimer's disease or family history of Alzheimer's disease"
"963","GCST008084","HDL cholesterol levels x alcohol consumption (drinkers vs non-drinkers) interaction (2df)"
"964","GCST009363_4","Triglyceride levels x short total sleep time interaction (2df test) [Hispanic/Latino]"
"965","GCST009369","Triglyceride levels x short total sleep time interaction (1df test) [EA]"
"966","GCST010161","Large artery stroke (CCSp classification)j"
"967","GCST000533_3","Lipid metabolism phenotypes [APOB.assay, fasting]"
"968","GCST000712","Type 2 diabetes"
"969","GCST006472","Triglyceride levels [Filipino]"
"970","GCST007022","Type 2 diabetes nephropathy including microalbuminuria"
"971","SAIGE_743_11","Osteoporosis nos"
"972","GCST000533_28","Lipid metabolism phenotypes [VLDL.large, whole]"
"973","GCST000665","Type 2 diabetes"
"974","GCST001233_6","Metabolite levels [LDL]"
"975","GCST002624","Chronic obstructive pulmonary disease"
"976","GCST003393","Parental longevity (mother's age at death)"
"977","GCST008074_5","Triglyceride levels x alcohol consumption (regular vs non-regular drinkers) interaction (2df) [Hispanic]"
"978","GCST009391_57","Metabolite levels [PC 40:6]"
"979","GCST011364","Myocardial infarction"
"980","GCST011581","Serum C-reactive protein concentration in obesity"
"981","FINNGEN_R5_I9_OTHARR_EXNONE","Other arrhytmias (no controls excluded)"
"982","GCST001392_10","Lipid metabolism phenotypes [VLDL-D]"
"983","GCST002044","Triglycerides [AA]"
"984","GCST002965_32","Glycerophospholipid levels [Phosphatidylcholine diacyl C42:6]"
"985","GCST005838","Stroke"
"986","GCST007692","Chronic obstructive pulmonary disease"
"987","GCST009391_90","Metabolite levels [TAG 54:3]"
"988","GCST009917","LDL cholesterol levels"
"989","NEALE2_23113_raw","Leg fat-free mass (right)"
"990","GCST000151","LDL cholesterol"
"991","GCST000755","HDL cholesterol"
"992","GCST001314","Adiponectin levels"
"993","GCST001400","Stroke [LVD]"
"994","GCST004373_2","Atrial fibrillation [Japanese]"
"995","GCST004771","TB-LM or TBLH-BMD (pleiotropy)"
"996","GCST005469_2","Phospholipid levels in small VLDL [conditioned on 885 SNPs]"
"997","GCST005480","Triglyceride levels in IDL"
"998","GCST005892_2","Glomerular filtration rate in type 2 diabetes [EA]"
"999","GCST008391","Glaucoma (primary open-angle)"
"1000","GCST008474","Peripheral artery disease"
"1001","GCST009391_59","Metabolite levels [SM 14:0]"
"1002","GCST000538","Adiponectin levels"
"1003","GCST002529_2","Glaucoma [AA, prevalent]"
"1004","GCST004296","Atrial fibrillation"
"1005","GCST005492","Very large HDL particle concentration"
"1006","GCST005935","Ventricular ectopy or supraventricular ectopy (pleiotropy) [African]"
"1007","GCST009391_106","Metabolite levels [TAG 58:10]"
"1008","GCST009391_21","Metabolite levels [DAG 36:1]"
"1009","GCST009391_30","Metabolite levels [LPC 20:4]"
"1010","GCST011327","Waist-hip ratio and LDL-C (pairwise)"
"1011","GCST000675_2","Heart failure [EA]"
"1012","GCST002042","LDL cholesterol [AA]"
"1013","GCST003471","Myocardial infarction"
"1014","GCST004815_2","C-reactive protein (red blood cell fatty acid level interaction) [EDA]"
"1015","GCST005529_4","Ankylosing spondylitis [conditioned on rs11209026, EA]"
"1016","GCST008695_3","Triglyceride levels x smoking (current vs non smokers) interaction (2df test) [EA]"
"1017","GCST009449","Parental longevity (mother's age at death or mother's attained age)"
"1018","GCST009512","Parkinson's disease"
"1019","SAIGE_428","Congestive heart failure; nonhypertensive"
"1020","GCST000533_19","Lipid metabolism phenotypes [LDL.large, fasting]"
"1021","GCST005780","Triglyceride levels"
"1022","GCST005812","Osteoarthritis of the hip or knee (hospital diagnosed)"
"1023","GCST006414","Atrial fibrillation"
"1024","GCST009372","Bipolar disorder or type 2 diabetes"
"1025","GCST011317","Age-related macular degeneration"
"1026","GCST011345","Triglyceride levels"
"1027","FINNGEN_R5_I9_CORATHER_EXNONE","Coronary atherosclerosis (no controls excluded)"
"1028","GCST001392_3","Lipid metabolism phenotypes [L-HDL-L/M-HDL-L]"
"1029","GCST001436_2","Metabolic syndrome [HDL]"
"1030","GCST004814_3","Interleukin-6 (red blood cell fatty acid level interaction) [DHA]"
"1031","GCST008927_6","Phosphatidylcholine levels [PC(16:0;0-20:5;0]"
"1032","GCST010284","Age-related macular degeneration (MTAG)"
"1033","NEALE2_23125_raw","Arm fat-free mass (left)"
"1034","FINNGEN_R5_COPD_ASTHMA_PNEUMONIA_SEPSIS","COPD/asthma related pneumonia or pneumonia derived septichaemia"
"1035","FINNGEN_R5_I9_HYPTENS","Hypertension"
"1036","GCST000167","Type 2 diabetes"
"1037","GCST000533_17","Lipid metabolism phenotypes [LDL-C.assay, fasting]"
"1038","GCST000959","Parkinson's disease"
"1039","GCST001007_4","Metabolic syndrome (bivariate traits) [HDLC-WC]"
"1040","GCST006867","Type 2 diabetes"
"1041","GCST010245","LDL cholesterol levels"
"1042","GCST90002412","Low density lipoprotein cholesterol levels"
"1043","FINNGEN_R5_J10_COPD","COPD"
"1044","GCST001392_14","Lipid metabolism phenotypes [XXL-VLDL-P]"
"1045","GCST009150","Low density lipoprotein cholesterol levels"
"1046","GCST009391_44","Metabolite levels [PC 34:2]"
"1047","GCST009391_97","Metabolite levels [TAG 56:10]"
"1048","GCST90012877","Alzheimer's disease or family history of Alzheimer's disease"
"1049","GCST90016592","Chronic obstructive pulmonary disease x current smoker interaction (1df)"
"1050","SAIGE_496","Chronic airway obstruction"
"1051","GCST000533_31","Lipid metabolism phenotypes [VLDL.small, whole]"
"1052","GCST001247_8","Cardiovascular disease risk factors [LDL]"
"1053","GCST002043","HDL cholesterol [AA]"
"1054","GCST003619","Type 2 diabetes"
"1055","GCST006048","Rheumatoid arthritis (ACPA-positive)"
"1056","GCST009615","Triglyceride levels x loop diuretics use interaction"
"1057","GCST010060_3","Cholesterol [LDL]"
"1058","FINNGEN_R5_I9_ATHSCLE_EXNONE","""Atherosclerosis, excluding cerebral, coronary and PAD"" (no controls excluded)"
"1059","GCST000184_3","Waist circumference and related phenotypes [triglycerides]"
"1060","GCST002965_8","Glycerophospholipid levels [Phosphatidylcholine acyl-alkyl C38:5]"
"1061","GCST009821","Response to statins (LDL cholesterol percent change)"
"1062","GCST000649_4","Chronic kidney disease [eGFRcys]"
"1063","GCST001436_4","Metabolic syndrome [TG]"
"1064","GCST001965_2","Glycemic traits [2-hPG]"
"1065","GCST002712_5","Red blood cell fatty acid levels [DPA-n3]"
"1066","GCST003303_2","LDL cholesterol [Hispanic]"
"1067","GCST007692_3","Chronic obstructive pulmonary disease [conditional on rs10152300]"
"1068","GCST90016610","Crohn's disease vs rheumatoid arthritis (ordinary least squares (OLS))"
"1069","GCST000537","Adiponectin levels"
"1070","GCST003257","Ischemic stroke (cardioembolic) [CCSp]"
"1071","GCST007990","Coronary artery disease"
"1072","NEALE2_20107_6","Chronic bronchitis/emphysema | illnesses of father"
"1073","SAIGE_714","Rheumatoid arthritis and other inflammatory polyarthropathies"
"1074","FINNGEN_R5_J10_COPDNAS_INCLAVO","Other chronic obstructive pulmonary disease"
"1075","GCST000493_5","Sphingolipid levels [SM 18:1Mol%]"
"1076","GCST002446","Plasma omega-6 polyunsaturated fatty acid levels (linoleic acid)"
"1077","GCST002898","LDL cholesterol"
"1078","GCST004232_3","HDL cholesterol levels [Trans-ethnic initial]"
"1079","GCST004894_3","Type 2 diabetes [South Asian]"
"1080","GCST006281_2","Coronary artery disease in type 1 diabetes [EA]"
"1081","GCST008077_5","LDL cholesterol levels [Hispanic]"
"1082","FINNGEN_R5_I9_HEARTFAIL_NS","""Heart failure, not strict"""
"1083","GCST000974","HDL cholesterol"
"1084","GCST001408_3","Response to statins (LDL cholesterol change) [fractional LDL-C reduction]"
"1085","GCST002983","Alzheimer's disease (late onset)"
"1086","GCST009147","Low density lipoprotein cholesterol levels"
"1087","GCST009365_3","LDL cholesterol levels x short total sleep time interaction (2df test) [EA]"
"1088","GCST010204","Low density lipoprotein cholesterol levels"
"1089","GCST011328","Waist-hip ratio and HDL-C (pairwise)"
"1090","GCST90010362","Triglyceride levels"
"1091","GCST90016594","Chronic obstructive pulmonary disease in non-current smokers"
"1092","FINNGEN_R5_I9_AF_REIMB","Atrial fibrillation and flutter with reimbursement"
"1093","FINNGEN_R5_I9_IHD","""Ischaemic heart disease, wide definition"""
"1094","GCST002965_24","Glycerophospholipid levels [Phosphatidylcholine diacyl C38:3]"
"1095","GCST007827","Alzheimer's disease or HDL levels (pleiotropy)"
"1096","GCST008046_3","Triglyceride levels [Hispanic/Latino]"
"1097","GCST008075_5","HDL cholesterol levels x alcohol consumption (regular vs non-regular drinkers) interaction (2df) [Hispanic]"
"1098","GCST008928_4","Phosphatidylcholine-ether levels [PCO(18:0;0-20:4;0]"
"1099","GCST009391_32","Metabolite levels [LPC 22:6]"
"1100","GCST009528","HDL cholesterol levels"
"1101","GCST011122","Walking pace"
"1102","GCST011365","Myocardial infarction"
"1103","GCST011489","Coronary artery disease in individuals without type 2 diabetes"
"1104","GCST003304","HDL cholesterol"
"1105","GCST004234_2","HDL cholesterol levels [BMI unadjusted]"
"1106","GCST004342_2","Vaccenic acid (18:1n-7) levels [EA]"
"1107","GCST006426","Serum urate levels in chronic kidney disease"
"1108","GCST007692_29","Chronic obstructive pulmonary disease [conditional on rs9329170]"
"1109","GCST008064","Chronic kidney disease"
"1110","GCST008931","Phosphatidylinositol levels [PI(18:0;0-18:1;0]"
"1111","GCST011100","Aging traits (healthspan, parental lifespan or longevity) (multivariate analysis)"
"1112","FINNGEN_R5_I9_STR_SAH","""Stroke, including SAH"""
"1113","FINNGEN_R5_PULM_PNEUMONIA_SEPSIS","COPD/asthma/ILD related pneumonia or pneumonia derived septichaemia"
"1114","GCST000290","HDL cholesterol"
"1115","GCST001430","Parkinson's disease"
"1116","GCST005506","Cholesterol ester levels in medium HDL"
"1117","GCST006926_2","Osteoarthritis (hip) [additive]"
"1118","GCST007768","Hyperinsulinemia in obesity"
"1119","GCST008084_2","HDL cholesterol levels x alcohol consumption (drinkers vs non-drinkers) interaction (2df) [AA]"
"1120","GCST90013684","Rheumatoid arthritis"
"1121","GCST000533_5","Lipid metabolism phenotypes [HDL-C.assay, fasting]"
"1122","GCST004787","Coronary artery disease (myocardial infarction, percutaneous transluminal coronary angioplasty, coronary artery bypass grafting, angina or chromic ischemic heart disease)"
"1123","GCST005512","Triglyceride levels in chylomicrons and largest VLDL"
"1124","GCST006925","Knee osteoarthritis"
"1125","GCST007611","Chronic obstructive pulmonary disease or high blood pressure (pleiotropy)"
"1126","GCST009021","Alzheimer's disease"
"1127","FINNGEN_R5_RHEUMA_SEROPOS_WIDE","""Seropositive rheumatoid arthritis, wide"""
"1128","GCST000533_10","Lipid metabolism phenotypes [HDL.large, whole]"
"1129","GCST006005_5","High density lipoprotein cholesterol levels [conditional on round 6]"
"1130","GCST008688","LDL cholesterol levels in current smokers [African, trans-ethnic]"
"1131","GCST009278","Diabetic nephropathy in type 1 diabetes"
"1132","GCST011051","Postprandial triglyceride levels"
"1133","GCST90013836","Alzheimer's disease or HDL levels (pleiotropy)"
"1134","GCST001247_7","Cardiovascular disease risk factors [HDL]"
"1135","GCST001550","Type 2 diabetes [Lean]"
"1136","GCST001814_2","Age-related macular degeneration [EA]"
"1137","GCST002219","Triglycerides"
"1138","GCST002318_2","Rheumatoid arthritis [EA]"
"1139","GCST002712_7","Red blood cell fatty acid levels [GLA]"
"1140","GCST007320","Alzheimer's disease or family history of Alzheimer's disease"
"1141","GCST007847","Type 2 diabetes"
"1142","GCST008070","HDL cholesterol levels"
"1143","GCST008077_3","LDL cholesterol levels [Asian]"
"1144","GCST008927_16","Phosphatidylcholine levels [PC(18:1;0-18:2;0]"
"1145","GCST008927_17","Phosphatidylcholine levels [PC(18:1;0-20:4;0]"
"1146","GCST000649_3","Chronic kidney disease [eGFRcrea]"
"1147","GCST005036","Lean body mass"
"1148","GCST008926_3","Lysophosphatidylethanolamine levels [LPE(20:4;0]"
"1149","GCST008930","Phosphatidylethanolamine-ether levels [PEO(16:1;0-18:2;0]"
"1150","NEALE2_20110_6","Chronic bronchitis/emphysema | illnesses of mother"
"1151","GCST000234","LDL cholesterol"
"1152","GCST007228","Pulmonary arterial hypertension"
"1153","GCST007442","Low density lipoprotein cholesterol levels"
"1154","GCST009022","Alzheimer’s disease (clinical subgroup AD+)"
"1155","GCST009391_75","Metabolite levels [TAG 48:3]"
"1156","GCST90013534","Rheumatoid arthritis"
"1157","FINNGEN_R5_I9_PAD_EXNONE","Peripheral artery disease (no controls excluded)"
"1158","GCST001413","Sphingolipid levels [levels]"
"1159","GCST002216","Triglycerides"
"1160","GCST002449_2","Plasma omega-6 polyunsaturated fatty acid levels (arachidonic acid) [Conditioned on rs174547]"
"1161","GCST005472_2","Triglyceride levels in small VLDL [conditioned on 885 SNPs]"
"1162","GCST007120","Multiple sclerosis and type 2 diabetes (pleiotropy)"
"1163","GCST008074_4","Triglyceride levels x alcohol consumption (regular vs non-regular drinkers) interaction (2df) [EA]"
"1164","GCST008085_5","HDL cholesterol levels in current drinkers [Hispanic]"
"1165","GCST90013744","Arrhythmia"
"1166","FINNGEN_R5_DM_PERIPHATHERO","Peripheral atherosclerosis"
"1167","FINNGEN_R5_I9_HYPTENSHD","Hypertensive Heart Disease"
"1168","FINNGEN_R5_RHEUMA_SEROPOS","Seropositive rheumatoid arthritis"
"1169","GCST000698_3","Osteoporosis-related phenotypes [LS BMD, women]"
"1170","GCST001392_9","Lipid metabolism phenotypes [Tot-C/Est-C]"
"1171","GCST002422","Alzheimer's disease"
"1172","GCST005842","Ischemic stroke (cardioembolic)"
"1173","GCST007749","Hyperglycemia in more-fat diet"
"1174","FINNGEN_R5_I9_HEARTFAIL","""Heart failure,strict"""
"1175","FINNGEN_R5_PRIM_COXARTHROSIS","""Primary coxarthrosis, bilateral"""
"1176","GCST001026","Alzheimer's disease (late onset)"
"1177","GCST004020","Small vessel stroke"
"1178","GCST008682","HDL cholesterol levels x smoking (ever vs never smokers) interaction (2df test)"
"1179","GCST008927_15","Phosphatidylcholine levels [PC(18:0;0-22:5;0]"
"1180","GCST009365","LDL cholesterol levels x short total sleep time interaction (2df test)"
"1181","FINNGEN_R5_E4_DM2OPTH","Type 2 diabetes with ophthalmic complications"
"1182","GCST001392_13","Lipid metabolism phenotypes [XL-HDL-TG]"
"1183","GCST001834","Oleic acid (18:1n-9) levels"
"1184","GCST006926","Osteoarthritis (hip)"
"1185","GCST001414_2","Phospholipid levels (plasma) [proportions]"
"1186","GCST001436_3","Metabolic syndrome [SBP]"
"1187","GCST002712_6","Red blood cell fatty acid levels [DTA]"
"1188","GCST010049","Parkinson's disease"
"1189","GCST010991","Parkinson's disease"
"1190","FINNGEN_R5_H7_AMD","Age-related macular degeneration (whether dry or wet)"
"1191","GCST001230","Triglycerides"
"1192","GCST001392_11","Lipid metabolism phenotypes [Val/serum TG]"
"1193","GCST002317","Type 2 diabetes"
"1194","GCST007949","Type 2 diabetes and end-stage kidney disease"
"1195","GCST008086_3","LDL cholesterol levels in current drinkers [Asian]"
"1196","GCST001449","Alzheimer's disease"
"1197","GCST003664_4","Metabolite levels (lipid measures) [ratio of bis-allylic bonds to double bonds in lipids]"
"1198","GCST008677","HDL cholesterol levels x smoking (current vs non smokers) interaction (1df test) [African]"
"1199","GCST008925_5","Lysophosphatidylcholine levels [LPC(20:4;0]"
"1200","FINNGEN_R5_M13_ARTHROSIS_KNEE_PRIM_ICD10","""Gonarthrosis,primary"""
"1201","GCST001180","Plasma omega-3 polyunsaturated fatty acid levels (alphalinolenic acid)"
"1202","GCST004919","HDL cholesterol levels"
"1203","GCST008685_3","HDL cholesterol levels [EA]"
"1204","GCST008923_2","Ceramide levels [CER(40:2;2]"
"1205","GCST009391_74","Metabolite levels [TAG 48:2]"
"1206","GCST010040","Lean mass index"
"1207","GCST000289","Triglycerides"
"1208","GCST002289","Coronary artery disease"
"1209","GCST006926_3","Osteoarthritis (hip) [recessive]"
"1210","GCST008074","Triglyceride levels x alcohol consumption (regular vs non-regular drinkers) interaction (2df)"
"1211","GCST008682_3","HDL cholesterol levels x smoking (ever vs never smokers) interaction (2df test) [EA, trans-ethnic]"
"1212","GCST008925_4","Lysophosphatidylcholine levels [LPC(18:0;0]"
"1213","GCST009292","Kidney disease (end stage renal disease or albuminuria) in type 1 diabetes"
"1214","GCST009391_29","Metabolite levels [LPC 20:3]"
"1215","SAIGE_365","Glaucoma"
"1216","FINNGEN_R5_I9_HEARTFAIL_AND_OVERWEIGHT","Heart failure and bmi 25plus"
"1217","FINNGEN_R5_I9_OTHARR","Other arrhytmias"
"1218","GCST001466","Chronic kidney disease"
"1219","GCST002965_30","Glycerophospholipid levels [Phosphatidylcholine diacyl C42:4]"
"1220","GCST002983_2","Alzheimer's disease (late onset) [adjusted for APOE]"
"1221","GCST003054_2","Gait rhythm [Single support time]"
"1222","GCST010050","Adiponectin levels"
"1223","GCST000135","HDL cholesterol"
"1224","GCST001688","Type 1 diabetes nephropathy [ESRD vs. non-ESRD]"
"1225","GCST002712_4","Red blood cell fatty acid levels [DGLA]"
"1226","GCST006023","Hypertension"
"1227","GCST007545","Coronary artery disease and triglyceride levels (multivariate analysis)"
"1228","GCST008927_7","Phosphatidylcholine levels [PC(16:0;0-22:4;0]"
"1229","GCST009541","Heart failure"
"1230","GCST011202","Dilated cardiomyopathy (MTAG)"
"1231","GCST000807","LDL cholesterol"
"1232","GCST002965_34","Glycerophospholipid levels [lysoPhosphatidylcholine acyl C20:3]"
"1233","GCST004044","Age-related diseases and mortality"
"1234","GCST005916","Cotinine levels in smokers with chronic obstructive pulmonary disease"
"1235","GCST007142","Triglycerides"
"1236","FINNGEN_R5_I9_MI_EXNONE","Myocardial infarction (no controls excluded)"
"1237","GCST000287","LDL cholesterol"
"1238","GCST002965_4","Glycerophospholipid levels [Phosphatidylcholine acyl-alkyl C36:3]"
"1239","GCST006433","Heel bone mineral density"
"1240","GCST008593","Low density lipoprotein cholesterol levels"
"1241","GCST009367_3","HDL cholesterol levels x short total sleep time interaction (2df test) [EA]"
"1242","GCST009661","Low HDL-cholesterol levels"
"1243","GCST009758","Idiopathic pulmonary fibrosis"
"1244","FINNGEN_R5_DM_NEPHROPATHY","Diabetic nephropathy"
"1245","FINNGEN_R5_I9_AF_EXNONE","Atrial fibrillation and flutter (no controls excluded)"
"1246","GCST000446","Atrial fibrillation"
"1247","GCST002965_13","Glycerophospholipid levels [Phosphatidylcholine acyl-alkyl C44:5]"
"1248","GCST005468_2","Small VLDL particle concentration [conditioned on 885 SNPs]"
"1249","GCST006005","High density lipoprotein cholesterol levels"
"1250","GCST008694","Triglyceride levels x smoking (current vs non smokers) interaction (1df test) [African]"
"1251","GCST008925_2","Lysophosphatidylcholine levels [LPC(16:0;0]"
"1252","GCST010121","Ceramide levels (C24:0)"
"1253","NEALE2_23121_raw","Arm fat-free mass (right)"
"1254","FINNGEN_R5_E4_DM2_STRICT","""Type 2 diabetes, strict (exclude DM1)"""
"1255","GCST000533_30","Lipid metabolism phenotypes [VLDL.small, fasting]"
"1256","GCST002560_2","Type 2 diabetes [AA]"
"1257","GCST005195","Coronary artery disease"
"1258","GCST009722","Glaucoma (multi-trait analysis)"
"1259","GCST90011768","Glaucoma (primary open-angle)"
"1260","GCST000533_33","Lipid metabolism phenotypes [VLDL.total, whole]"
"1261","GCST001128","Adiposity"
"1262","GCST003215","HDL cholesterol"
"1263","GCST004247","Alzheimer's disease (APOE e4 interaction)"
"1264","GCST004920","LDL cholesterol levels"
"1265","GCST006306_2","HDL cholesterol [Yoruban]"
"1266","GCST009857","Nonatopic asthma or type 2 diabetes"
"1267","NEALE2_20002_1075","Heart attack/myocardial infarction | non-cancer illness code, self-reported"
"1268","SAIGE_496_21","Obstructive chronic bronchitis"
"1269","FINNGEN_R5_J10_COPDNAS","Other chronic obstructive pulmonary disease"
"1270","FINNGEN_R5_N14_CHRONKIDNEYDIS","Chronic kidney disease"
"1271","GCST001087","Alzheimer's disease"
"1272","GCST002233","Adiponectin levels"
"1273","GCST007692_4","Chronic obstructive pulmonary disease [conditional on rs10866659]"
"1274","GCST008086","LDL cholesterol levels in current drinkers"
"1275","GCST008600","Longevity (age >90th survival percentile)"
"1276","GCST008925","Lysophosphatidylcholine levels [LPC(14:0;0]"
"1277","GCST008927_11","Phosphatidylcholine levels [PC(18:0;0-18:2;0]"
"1278","FINNGEN_R5_I9_OTHHEART","Other heart diseases"
"1279","GCST002403","Longevity (85 years and older)"
"1280","GCST003984","Parkinson's disease"
"1281","GCST005466","Free cholesterol levels in medium VLDL"
"1282","GCST006910","Ischemic stroke (cardioembolic)"
"1283","GCST009391_36","Metabolite levels [LPE 18:2]"
"1284","GCST009391_91","Metabolite levels [TAG 54:4]"
"1285","GCST009757","Low density lipoprotein cholesterol levels"
"1286","GCST000698_5","Osteoporosis-related phenotypes [NW, men & women]"
"1287","GCST001414","Phospholipid levels (plasma) [levels]"
"1288","GCST001516","Osteoarthritis"
"1289","GCST005509","Triglyceride levels in small HDL"
"1290","GCST005567","Rheumatoid arthritis (ACPA-negative)"
"1291","GCST001149","Ankylosing spondylitis"
"1292","GCST002965_21","Glycerophospholipid levels [Phosphatidylcholine diacyl C36:3]"
"1293","GCST002965_29","Glycerophospholipid levels [Phosphatidylcholine diacyl C40:6]"
"1294","GCST003664_3","Metabolite levels (lipid measures) [other polyunsaturated fatty acids than 18:2]"
"1295","GCST007140_3","High density lipoprotein cholesterol levels [EA]"
"1296","GCST008933","Sphingomyelin levels [SM(32:1;2]"
"1297","GCST008937","Triglyceride levels"
"1298","GCST001231","Carotid intima media thickness [Plaque]"
"1299","GCST002965_22","Glycerophospholipid levels [Phosphatidylcholine diacyl C36:4]"
"1300","GCST002965_33","Glycerophospholipid levels [lysoPhosphatidylcholine acyl C16:1]"
"1301","GCST005462_2","Medium VLDL particle concentration [conditioned on 885 SNPs]"
"1302","GCST008075_3","HDL cholesterol levels x alcohol consumption (regular vs non-regular drinkers) interaction (2df) [Asian]"
"1303","GCST008083_5","Triglyceride levels x alcohol consumption (drinkers vs non-drinkers) interaction (2df) [Hispanic]"
"1304","GCST008084_3","HDL cholesterol levels x alcohol consumption (drinkers vs non-drinkers) interaction (2df) [Asian]"
"1305","GCST008725","Diffuse large B-cell lymphoma or rheumatoid arthritis"
"1306","GCST010723","Early age-related macular degeneration"
"1307","GCST011210","Dilated cardiomyopathy"
"1308","NEALE2_20002_1309","Osteoporosis | non-cancer illness code, self-reported"
"1309","FINNGEN_R5_RX_ANTIHYP","Antihypertensive medication - note that there are other indications"
"1310","GCST001006","Waist Circumference - Triglycerides (WC-TG)"
"1311","GCST002690","Very long-chain saturated fatty acid levels (fatty acid 20:0)"
"1312","GCST003116_3","Coronary artery disease [recessive model]"
"1313","GCST005561","Aortic valve stenosis"
"1314","GCST007284_3","LDL cholesterol x physical activity interaction (2df test) [EA]"
"1315","FINNGEN_R5_FG_HYPERTENSION","Hypertensive diseases (excluding secondary)"
"1316","FINNGEN_R5_I9_CONDUCTIO","Conduction disorders"
"1317","GCST011416","Triglyceride levels"
"1318","FINNGEN_R5_I9_ISCHHEART","Ischemic heart diseases"
"1319","GCST000397_2","Renal function and chronic kidney disease [CKD]"
"1320","GCST000533","Lipid metabolism phenotypes [APOA1.assay, fasting]"
"1321","GCST000533_25","Lipid metabolism phenotypes [TG.by.NMR, fasting]"
"1322","GCST001007_3","Metabolic syndrome (bivariate traits) [HDLC-GLUC]"
"1323","GCST001126","Parkinson's disease"
"1324","GCST001351","Type 2 diabetes"
"1325","GCST001463","Adiponectin levels"
"1326","GCST005359","Disease progression in age-related macular degeneration"
"1327","GCST005511","Phospholipid levels in chylomicrons and largest VLDL"
"1328","GCST008084_5","HDL cholesterol levels x alcohol consumption (drinkers vs non-drinkers) interaction (2df) [Hispanic]"
"1329","GCST008931_5","Phosphatidylinositol levels [Total_PI]"
"1330","GCST009614_2","LDL cholesterol levels x loop diuretics use interaction [African]"
"1331","GCST009615_3","Triglyceride levels x loop diuretics use interaction [EA]"
"1332","GCST010867","Coronary artery disease"
"1333","GCST90007529","Low hand grip strength (60 years and older) (FNIH)"
"1334","FINNGEN_R5_F5_ALZHDEMENT","Dementia in Alzheimer disease"
